,Lp,code,url,title,rooms,price,price_m2,area,district
51,54,441Ky,https://www.otodom.pl/oferta/2-pokojowe-mieszkanie-na-ochocie-46m2-po-remoncie-ID441Ky.html#65ef490b31,2 pokojowe mieszkanie na Ochocie 46m2 po remoncie,2,599000.0,13022.0,46.0,OCHOTA
52,55,44rui,https://www.otodom.pl/oferta/2-pokoje-na-pradze-polnoc-ID44rui.html#65ef490b31,2 pokoje na Pradze-Północ!,2,472000.0,12103.0,39.0,PRAGA-PÓŁNOC
53,56,44ruh,https://www.otodom.pl/oferta/3-pokoje-z-duzym-tarasem-na-ursynowie-ID44ruh.html#65ef490b31,3 pokoje z dużym tarasem na Ursynowie!,3,630000.0,10000.0,63.0,URSYNÓW
54,57,44rug,https://www.otodom.pl/oferta/2-pokoje-na-bialolece-ID44rug.html#65ef490b31,2 pokoje na Białołęce!,2,420000.0,8750.0,48.0,BIAŁOŁĘKA
55,58,44ruf,https://www.otodom.pl/oferta/3-pokoje-na-warszawskim-bemowo-ID44ruf.html#65ef490b31,3 pokoje na warszawskim Bemowo!,3,705000.0,10522.0,67.0,BEMOWO
56,59,44rue,https://www.otodom.pl/oferta/2-pokojowy-apartament-w-srodmiesciu-ID44rue.html#65ef490b31,2 pokojowy apartament w Śródmieściu!,2,555000.0,18500.0,30.0,WOLA
57,60,44rud,https://www.otodom.pl/oferta/2-pokojowe-jasne-i-cieple-na-tarchominie-ID44rud.html#65ef490b31,"2 pokojowe, jasne i ciepłe na Tarchominie!",2,388000.0,8622.0,45.0,BIAŁOŁĘKA
58,61,44ru2,https://www.otodom.pl/oferta/nowoczesny-dom-w-pyrach-ID44ru2.html#65ef490b31,Nowoczesny Dom W Pyrach,4,1609500.0,9028.0,178.27,URSYNÓW
59,62,44b0D,https://www.otodom.pl/oferta/saska-k-dwustronne-rozkladowe-balkon-wysokie-ID44b0D.html#65ef490b31,Saska K.; dwustronne; rozkładowe; balkon; wysokie,2,640000.0,11900.0,53.78,PRAGA-POŁUDNIE
60,63,44psA,https://www.otodom.pl/oferta/wysoki-standard-kup-i-zamieszkaj-widok-na-wisle-ID44psA.html#65ef490b31,Wysoki standard; kup i zamieszkaj; widok na Wisłę,2,699000.0,12802.0,54.6,PRAGA-POŁUDNIE
61,64,44rtM,https://www.otodom.pl/oferta/mieszkanie-warszawa-wola-ID44rtM.html#65ef490b31,Mieszkanie - Warszawa Wola,2,760000.0,14254.0,53.32,WOLA
62,65,436st,https://www.otodom.pl/oferta/najprawdopodobniej-najlepsze-m-4-na-woli-sprawdz-ID436st.html#65ef490b31,Najprawdopodobniej najlepsze M-4 na Woli. Sprawdź!,3,429000.0,8580.0,50.0,WOLA
